Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Sudan,3|0.711,3,"2750,3193,3309,3370,3371,3393",0.711000,206.19,257.74
Sudan,3|0.394,3,3001,0.394000,114.26,142.83
Spain,3|0.944,3,2263,0.944000,273.76,342.20
Spain,3|1.102,3,"2579,2750,3160,3193,3309,3328,3330,3370,3371,3393",1.102000,319.58,399.48
Spain,3|1.114,3,"2738,3329",1.114000,323.06,403.82
Spain,1|0.388,1,2739,0.388000,112.52,140.65
Spain,1|0.394,1,3001,0.394000,114.26,142.83
Spain,3|0.998,3,3237,0.998000,289.42,361.78
Spain,3|1.099,3,3296,1.099000,318.71,398.39
Spain,3|1.09,3,3335,1.090000,316.10,395.13
Nicaragua,3|0.187,3,2266,0.187000,54.23,75.93
Nicaragua,3|0.502,3,"2579,3193,3309,3370,3371,3393",0.502000,145.58,181.98
Nicaragua,3|0.136,3,2750,0.136000,39.44,197.20
Nicaragua,3|0.394,3,3001,0.394000,114.26,142.83
"Moldova, Republic of",3|0.502,3,"2260,2750,3193,3370,3418",0.502000,145.58,181.98
"Moldova, Republic of",3|0.187,3,2266,0.187000,54.23,75.93
"Moldova, Republic of",3|0.362,3,2738,0.362000,104.98,131.22
"Moldova, Republic of",3|0.27,3,2920,0.270000,78.30,109.64
"Moldova, Republic of",3|0.394,3,3001,0.394000,114.26,142.83
"Moldova, Republic of",2|0.151,2,3239,0.151000,43.79,218.95
"Moldova, Republic of",3|0.496,3,3335,0.496000,143.84,179.80
United States,3|2.296,3,2263,2.296000,665.84,832.30
United States,3|0.439,3,2495,0.439000,127.31,159.14
United States,3|2.026,3,"2738,3330,3370",2.026000,587.54,734.42
United States,3|0.394,3,3001,0.394000,114.26,142.83
United States,3|0.667,3,3170,0.667000,193.43,241.79
United States,3|0.944,3,3193,0.944000,273.76,342.20
United States,3|0.444,3,3196,0.444000,128.76,160.95
United States,3|1.064,3,3237,1.064000,308.56,385.70
Saudi Arabia,3|0.187,3,2266,0.187000,54.23,75.93
Saudi Arabia,3|0.286,3,2377,0.286000,82.94,116.13
Saudi Arabia,3|0.451,3,"2579,3160,3193,3330,3370",0.451000,130.79,163.49
Saudi Arabia,3|0.394,3,3001,0.394000,114.26,142.83
Thailand,3|0.198,3,2217,0.198000,57.42,80.40
Thailand,3|0.187,3,2266,0.187000,54.23,75.93
Thailand,3|0.435,3,"2567,2579,2750,3160,3309,3330,3370",0.435000,126.15,157.69
Thailand,3|0.432,3,2840,0.432000,125.28,156.60
Thailand,3|0.394,3,3001,0.394000,114.26,142.83
Thailand,3|0.234,3,3193,0.234000,67.86,95.02
Thailand,3|0.014,3,3237,0.014000,4.06,20.30
Thailand,3|0.147,3,"3340,3393",0.147000,42.63,213.15
Benin,3|0.187,3,2266,0.187000,54.23,75.93
Benin,3|0.502,3,"2579,2750,3193",0.502000,145.58,181.98
Benin,3|0.394,3,3001,0.394000,114.26,142.83
Costa Rica,3|0.187,3,2266,0.187000,54.23,75.93
Costa Rica,2|0.394,2,3001,0.394000,114.26,142.83
Costa Rica,3|0.446,3,3370,0.446000,129.34,161.68
Burkina Faso,3|0.187,3,2266,0.187000,54.23,75.93
Burkina Faso,3|0.502,3,"2750,3193,3370",0.502000,145.58,181.98
Burkina Faso,3|0.394,3,3001,0.394000,114.26,142.83
Qatar,3|0.187,3,2266,0.187000,54.23,75.93
Qatar,2|0.394,2,3001,0.394000,114.26,142.83
Qatar,3|0.446,3,"3370,3371,3393",0.446000,129.34,161.68
Belgium,3|0.187,3,2266,0.187000,54.23,75.93
Belgium,3|0.627,3,"2579,2750,3160,3193,3309,3370,3371,3393",0.627000,181.83,227.29
Belgium,3|0.394,3,3001,0.394000,114.26,142.83
United Kingdom,3|0.278,3,1015,0.278000,80.62,112.88
United Kingdom,3|0.384,3,"2260,2291,2579,2750,2914,3168,3193,3330,3370,3406",0.384000,111.36,139.20
United Kingdom,3|0.234,3,2263,0.234000,67.86,95.02
United Kingdom,1|0.187,1,2266,0.187000,54.23,75.93
United Kingdom,3|0.199,3,2442,0.199000,57.71,80.81
United Kingdom,3|0.28,3,2738,0.280000,81.20,113.70
United Kingdom,3|0.164,3,2739,0.164000,47.56,237.80
United Kingdom,3|0.196,3,"3094,3393",0.196000,56.84,79.59
United Kingdom,1|0.055,1,3109,0.055000,15.95,79.75
United Kingdom,2|0.148,2,3160,0.148000,42.92,214.60
United Kingdom,3|0.021,3,3212,0.021000,6.09,30.45
United Kingdom,2|0.03,2,3237,0.030000,8.70,43.50
United Kingdom,3|0.134,3,3248,0.134000,38.86,194.30
United Kingdom,3|0.111,3,"3309,3328,3329",0.111000,32.19,160.95
United Kingdom,3|0.222,3,3335,0.222000,64.38,90.14
United Kingdom,2|0.077,2,3368,0.077000,22.33,111.65
United Kingdom,3|0.27,3,3371,0.270000,78.30,109.64
Reunion,3|0.394,3,3001,0.394000,114.26,142.83
Reunion,3|0.542,3,"3309,3370,3371,3393",0.542000,157.18,196.48
Oman,3|0.394,3,3001,0.394000,114.26,142.83
Oman,3|0.502,3,3370,0.502000,145.58,181.98
Congo,3|0.187,3,2266,0.187000,54.23,75.93
Congo,3|0.394,3,3001,0.394000,114.26,142.83
Congo,3|0.502,3,"3309,3370,3371,3393,3421",0.502000,145.58,181.98
Yemen,3|0.187,3,2266,0.187000,54.23,75.93
Yemen,3|0.198,3,2377,0.198000,57.42,80.40
Yemen,3|0.502,3,"2579,3193,3330,3370",0.502000,145.58,181.98
Yemen,3|0.394,3,3001,0.394000,114.26,142.83
Uruguay,3|0.187,3,2266,0.187000,54.23,75.93
Uruguay,3|0.627,3,"2579,3309,3370,3393",0.627000,181.83,227.29
Uruguay,1|0.394,1,3001,0.394000,114.26,142.83
Uruguay,3|0.56,3,3371,0.560000,162.40,203.00
Iraq,3|0.198,3,2217,0.198000,57.42,80.40
Iraq,3|0.187,3,2266,0.187000,54.23,75.93
Iraq,3|0.502,3,"2579,3168,3193,3309,3328,3330,3370,3371,3393",0.502000,145.58,181.98
Iraq,3|0.394,3,3001,0.394000,114.26,142.83
Iraq,3|0.496,3,3335,0.496000,143.84,179.80
Iraq,3|0.376,3,3421,0.376000,109.04,136.30
Senegal,3|0.187,3,2266,0.187000,54.23,75.93
Senegal,3|0.451,3,"2750,3193,3309,3370,3371,3393",0.451000,130.79,163.49
Senegal,3|0.394,3,3001,0.394000,114.26,142.83
Germany,3|1.824,3,2263,1.824000,528.96,661.20
Germany,3|2.395,3,"2442,2579,2750,2966,3160,3193,3330,3370",2.395000,694.55,868.19
Germany,3|1.873,3,2738,1.873000,543.17,678.96
Germany,1|1.247,1,2739,1.247000,361.63,452.04
Germany,3|0.394,3,3001,0.394000,114.26,142.83
Germany,3|1.386,3,3087,1.386000,401.94,502.43
Germany,1|1.238,1,3094,1.238000,359.02,448.77
Germany,1|0.688,1,3237,0.688000,199.52,249.40
Germany,3|1.083,3,"3309,3418",1.083000,314.07,392.59
Germany,1|1.652,1,3329,1.652000,479.08,598.85
Germany,3|1.332,3,3335,1.332000,386.28,482.85
Germany,3|1.808,3,3371,1.808000,524.32,655.40
Germany,3|2.339,3,3393,2.339000,678.31,847.89
Germany,3|1.279,3,3394,1.279000,370.91,463.64
Lao People`s,3|0.295,3,2217,0.295000,85.55,119.79
Lao People`s,3|0.451,3,"2260,2579,3193,3330,3370",0.451000,130.79,163.49
Lao People`s,3|0.187,3,2266,0.187000,54.23,75.93
Lao People`s,3|0.446,3,"2840,3418",0.446000,129.34,161.68
Lao People`s,3|0.339,3,"2920,3421",0.339000,98.31,137.65
Lao People`s,3|0.394,3,3001,0.394000,114.26,142.83
Poland,3|0.349,3,1015,0.349000,101.21,126.51
Poland,3|0.198,3,2217,0.198000,57.42,80.40
Poland,2|0.408,2,2263,0.408000,118.32,147.90
Poland,3|0.187,3,2266,0.187000,54.23,75.93
Poland,3|0.171,3,2284,0.171000,49.59,247.95
Poland,3|0.819,3,"2442,2579,3193,3330,3370,3393",0.819000,237.51,296.89
Poland,3|0.404,3,2738,0.404000,117.16,146.45
Poland,3|0.394,3,3001,0.394000,114.26,142.83
Poland,3|0.6,3,3087,0.600000,174.00,217.50
Poland,3|0.343,3,3094,0.343000,99.47,139.28
Poland,3|0.142,3,"3160,3328",0.142000,41.18,205.90
Poland,2|0.102,2,3237,0.102000,29.58,147.90
Poland,3|0.202,3,3309,0.202000,58.58,82.02
Poland,3|0.369,3,3335,0.369000,107.01,133.76
Poland,3|0.45,3,3371,0.450000,130.50,163.13
Poland,2|0.142,2,3418,0.142000,41.18,205.90
Togo,3|0.187,3,2266,0.187000,54.23,75.93
Togo,3|0.451,3,"2750,3160,3193,3309,3370,3371,3393",0.451000,130.79,163.49
Togo,3|0.394,3,3001,0.394000,114.26,142.83
Togo,3|0.339,3,3168,0.339000,98.31,137.65
Niger,3|0.187,3,2266,0.187000,54.23,75.93
Niger,3|0.394,3,3001,0.394000,114.26,142.83
Niger,3|0.446,3,"3309,3370,3371,3393",0.446000,129.34,161.68
Syrian Arab Republic,3|0.187,3,2266,0.187000,54.23,75.93
Syrian Arab Republic,3|0.394,3,3001,0.394000,114.26,142.83
Syrian Arab Republic,3|0.711,3,3370,0.711000,206.19,257.74
Hungary,3|0.187,3,2266,0.187000,54.23,75.93
Hungary,3|0.627,3,"2579,2750,3193,3370,3393",0.627000,181.83,227.29
Hungary,3|0.394,3,3001,0.394000,114.26,142.83
Hungary,3|0.522,3,3237,0.522000,151.38,189.22
Hungary,3|0.59,3,"3309,3335",0.590000,171.10,213.88
Bhutan,3|0.394,3,3001,0.394000,114.26,142.83
Bhutan,3|0.502,3,3370,0.502000,145.58,181.98
Burundi,3|0.187,3,2266,0.187000,54.23,75.93
Burundi,3|0.502,3,"2750,3193,3309,3370,3371,3393",0.502000,145.58,181.98
Burundi,3|0.394,3,3001,0.394000,114.26,142.83
Malaysia,3|0.198,3,2217,0.198000,57.42,80.40
Malaysia,3|0.187,3,2266,0.187000,54.23,75.93
Malaysia,3|0.451,3,"2567,2579,2750,3168,3193,3309,3330,3370",0.451000,130.79,163.49
Malaysia,3|0.394,3,3001,0.394000,114.26,142.83
Malaysia,3|0.302,3,3335,0.302000,87.58,122.63
Malaysia,3|0.424,3,3421,0.424000,122.96,153.70
Netherlands,3|0.331,3,1203,0.331000,95.99,134.41
Netherlands,3|0.198,3,2217,0.198000,57.42,80.40
Netherlands,3|1.123,3,2263,1.123000,325.67,407.09
Netherlands,3|0.187,3,2266,0.187000,54.23,75.93
Netherlands,3|2.948,3,"2442,2567,2579,2750,3160,3193,3309,3330,3370,3393",2.948000,854.92,1068.65
Netherlands,3|1.207,3,2738,1.207000,350.03,437.54
Netherlands,2|0.26,2,2739,0.260000,75.40,105.58
Netherlands,3|0.394,3,3001,0.394000,114.26,142.83
Netherlands,3|0.8,3,3087,0.800000,232.00,290.00
Netherlands,3|0.27,3,3198,0.270000,78.30,109.64
Netherlands,3|0.659,3,"3328,3329,3335,3418",0.659000,191.11,238.89
Netherlands,3|1.544,3,3371,1.544000,447.76,559.70
Netherlands,1|0.667,1,3433,0.667000,193.43,241.79
Equatorial Guinea,3|0.187,3,2266,0.187000,54.23,75.93
Equatorial Guinea,3|0.394,3,3001,0.394000,114.26,142.83
Equatorial Guinea,3|0.502,3,3370,0.502000,145.58,181.98
United Arab Emirates,3|0.502,3,"2260,3160,3328,3370,3418",0.502000,145.58,181.98
United Arab Emirates,3|0.187,3,2266,0.187000,54.23,75.93
United Arab Emirates,3|0.168,3,2920,0.168000,48.72,243.60
United Arab Emirates,3|0.394,3,3001,0.394000,114.26,142.83
Trinidad and Tobago,3|0.187,3,2266,0.187000,54.23,75.93
Trinidad and Tobago,3|0.394,3,3001,0.394000,114.26,142.83
