Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Philippines,3|0.022,3,"3340,3393,3168,3418",0.022000,6.38,44.66
Philippines,3|0.008,3,3237,0.008000,2.32,16.24
Philippines,3|0.045,3,3335,0.045000,13.05,91.35
Maldives,3|0.099,3,3001,0.099000,28.71,200.97
Maldives,3|0.226,3,"3160,3370,3371,3393,3309",0.226000,65.54,93.74
Portugal,3|0.902,3,"2750,2579,2442,3193,3160,3370,3428,3433",0.902000,261.58,332.23
Portugal,3|0.114,3,2738,0.114000,33.06,231.42
Portugal,3|0.026,3,2263,0.026000,7.54,52.78
Portugal,3|0.192,3,2739,0.192000,55.68,79.63
Portugal,3|0.022,3,"3309,3329,3314,3393,3340",0.022000,6.38,44.66
Portugal,3|0.008,3,3237,0.008000,2.32,16.24
Portugal,3|0.534,3,3087,0.534000,154.86,196.69
Portugal,3|0.045,3,3335,0.045000,13.05,91.35
Portugal,3|0.04,3,3132,0.040000,11.60,81.20
Estonia,3|0.046,3,"2750,2291,3193,3330,3393,2579,3370,3328,3168",0.046000,13.34,93.38
Estonia,3|0.045,3,"3309,3335",0.045000,13.05,91.35
Estonia,3|0.026,3,2738,0.026000,7.54,52.78
Czech Republic,3|0.802,3,"2750,2579,2291,3193,3160,2567,2260,3370,2920,3428,3330",0.802000,232.58,295.40
Czech Republic,3|0.023,3,2263,0.023000,6.67,46.69
Czech Republic,3|0.034,3,"2738,3309,3393,3371,3418",0.034000,9.86,69.02
Czech Republic,1|0.015,1,2739,0.015000,4.35,30.45
Czech Republic,3|0.534,3,3087,0.534000,154.86,196.69
Czech Republic,3|0.045,3,3335,0.045000,13.05,91.35
Romania,3|0.126,3,"2750,2579,2291,3193,3160,3330,2567,3370",0.126000,36.54,255.78
Romania,3|0.07,3,2738,0.070000,20.30,142.10
Romania,3|0.052,3,2263,0.052000,15.08,105.56
Romania,3|0.008,3,3237,0.008000,2.32,16.24
Romania,3|0.034,3,2739,0.034000,9.86,69.02
Romania,3|0.023,3,"3371,3328,3393,3309",0.023000,6.67,46.69
Romania,3|0.045,3,3335,0.045000,13.05,91.35
Romania,3|0.007,3,3168,0.007000,2.03,14.21
Indonesia,3|0.047,3,"2750,3193,2579,3330,3406,3168,3370,3427,2442,2434,3309,1085,3353,3384,3127,3377,3426",0.047000,13.63,95.41
Indonesia,3|0.043,3,"3160,2738,3333,3206",0.043000,12.47,87.29
Indonesia,3|0.03,3,2739,0.030000,8.70,60.90
Indonesia,3|0.032,3,2263,0.032000,9.28,64.96
Indonesia,3|0.004,3,"2295,2994,3417,3334,3347",0.004000,1.16,8.12
Indonesia,3|0.022,3,"3340,3393,3327,3339,1170,3424",0.022000,6.38,44.66
Indonesia,3|0.008,3,3237,0.008000,2.32,16.24
Indonesia,3|0.045,3,3335,0.045000,13.05,91.35
Indonesia,3|0.01,3,"3029,1329",0.010000,2.90,20.30
Indonesia,3|0.007,3,"3355,3027",0.007000,2.03,14.21
Indonesia,3|0.035,3,54,0.035000,10.15,71.05
Indonesia,3|0.018,3,3251,0.018000,5.22,36.54
Sweden,3|0.018,3,3055,0.018000,5.22,36.54
Sweden,3|0.819,3,"2750,2579,3193,3330,3370,3428,3393,3309",0.819000,237.51,301.66
Sweden,3|0.026,3,"2738,3314",0.026000,7.54,52.78
Sweden,3|0.019,3,2263,0.019000,5.51,38.57
Sweden,3|0.6,3,3087,0.600000,174.00,221.00
Sweden,3|0.02,3,2739,0.020000,5.80,40.60
Sweden,3|0.045,3,3335,0.045000,13.05,91.35
Canada,3|0.067,3,"2262,2750,2579,3330,3406,3370,3309,3393",0.067000,19.43,136.01
Canada,3|0.008,3,"2430,2440,2441,2767,2748,2784,2677,2524,2681,2620,2568",0.008000,2.32,16.24
Canada,1|0.008,1,2675,0.008000,2.32,16.24
Canada,3|0.011,3,3160,0.011000,3.19,22.33
Canada,3|0.045,3,"3198,3335",0.045000,13.05,91.35
Canada,3|0.04,3,2567,0.040000,11.60,81.20
Canada,3|0.023,3,3329,0.023000,6.67,46.69
Canada,3|0.059,3,3314,0.059000,17.11,119.77
Chile,3|0.046,3,"2750,3160,3193,3235,3370,2579,3309,3393,3330",0.046000,13.34,93.38
Chile,3|0.022,3,2421,0.022000,6.38,44.66
Chile,3|0.02,3,"3350,3371",0.020000,5.80,40.60
Chile,3|0.045,3,3335,0.045000,13.05,91.35
Chile,3|0.024,3,2974,0.024000,6.96,48.72
Georgia,3|0.046,3,"2750,3193,2263,2738,3370,2579,3168,3330",0.046000,13.34,93.38
Georgia,3|0.038,3,"3393,3421,3371,3418",0.038000,11.02,77.14
Georgia,3|0.008,3,3237,0.008000,2.32,16.24
Latvia,3|0.046,3,"2750,3193,3330,3370",0.046000,13.34,93.38
Latvia,3|0.043,3,"3309,3340,3393",0.043000,12.47,87.29
Latvia,3|0.042,3,3335,0.042000,12.18,85.26
Tajikistan,3|0.4,3,"2579,3193,3370,3428,3371,3393,3309",0.400000,116.00,147.33
Lithuania,3|1.208,3,"2750,2579,3193,3330,3370,3428,3393",1.208000,350.32,444.94
Lithuania,3|0.952,3,"3309,3371",0.952000,276.08,350.65
Lithuania,3|0.667,3,3087,0.667000,193.43,245.68
Lithuania,3|0.4,3,3237,0.400000,116.00,147.33
Japan,3|8.842,3,"2750,2567,3370,3428,3371,3393,3330",8.842000,2564.18,3256.77
Japan,3|0.22,3,"3160,3421",0.220000,63.80,91.25
Kosovo,3|0.063,3,3168,0.063000,18.27,127.89
