Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Jamaica,Gold,2266,0.054000,15.12,24.19
Jamaica,Bronze,3001,0.099000,27.72,41.58
Jamaica,Bronze,3182,0.054000,15.12,24.19
Jamaica,Bronze,"2579,3370,3371,3309,3042,2260,3271",0.178000,49.84,74.76
Jamaica,Bronze,2920,0.063000,17.64,28.22
Venezuela,Bronze,"2750,3370,2579,3371,3309",0.100000,28.00,42.00
Venezuela,Bronze,"2266,3182",0.054000,15.12,24.19
Venezuela,Bronze,3001,0.099000,27.72,41.58
Venezuela,Bronze,3193,0.067000,18.76,30.02
Venezuela,Bronze,3160,0.047000,13.16,21.06
Kazakhstan,Bronze,"2750,2579,2738,3330,3370,2263,3309,3042,3271",0.143000,40.04,60.06
Kazakhstan,Bronze,3001,0.099000,27.72,41.58
Kazakhstan,Bronze,3193,0.067000,18.76,30.02
Kazakhstan,Bronze,"3328,3168,3371,3421",0.058000,16.24,25.98
Kazakhstan,Bronze,2920,0.063000,17.64,28.22
Colombia,Bronze,"2286,2579,3330,2567,2260,3406,3370,3309,3042,3271",0.240000,67.20,94.08
Colombia,Bronze,2750,0.210000,58.80,82.32
Colombia,Gold,2335,0.050000,14.00,22.40
Colombia,Bronze,2217,0.138000,38.64,57.96
Colombia,Bronze,"2266,3182",0.054000,15.12,24.19
Colombia,Bronze,3001,0.099000,27.72,41.58
Colombia,Silver,3160,0.051000,14.28,22.85
Colombia,Bronze,"3109,3340",0.086000,24.08,36.12
Colombia,Bronze,3193,0.067000,18.76,30.02
Colombia,Gold,"3243,3253",0.018000,5.04,8.06
Colombia,Gold,3237,0.022000,6.16,9.86
Colombia,Bronze,3335,0.052000,14.56,23.30
Colombia,Bronze,2920,0.091000,25.48,38.22
Colombia,Bronze,3371,0.040000,11.20,17.92
Colombia,Gold,2236,0.060000,16.80,26.88
Paraguay,Bronze,"2750,3370,2579,3371,3042,3271",0.127000,35.56,53.34
Paraguay,Bronze,"2266,3160",0.054000,15.12,24.19
Paraguay,Bronze,3001,0.099000,27.72,41.58
Paraguay,Bronze,3193,0.067000,18.76,30.02
Paraguay,Bronze,"3335,3328,3418",0.126000,35.28,52.92
Paraguay,Bronze,3309,0.080000,22.40,33.60
Turkey,Bronze,"2750,2579,3406,3160,3309",0.100000,28.00,42.00
Turkey,Silver,"2266,3182",0.054000,15.12,24.19
Turkey,Bronze,3001,0.099000,27.72,41.58
Turkey,Bronze,3193,0.067000,18.76,30.02
Turkey,Bronze,"3329,3371",0.094000,26.32,39.48
Kyrgyzstan,Bronze,"2750,2579,3330,3370,3309,2260,3271",0.143000,40.04,60.06
Kyrgyzstan,Bronze,3001,0.099000,27.72,41.58
Kyrgyzstan,Bronze,3182,0.054000,15.12,24.19
Kyrgyzstan,Bronze,3193,0.067000,18.76,30.02
Kyrgyzstan,Bronze,3371,0.035000,9.80,15.68
Kyrgyzstan,Bronze,3237,0.020000,5.60,8.96
Jordan,Bronze,"2266,3182",0.054000,15.12,24.19
Jordan,Bronze,3001,0.099000,27.72,41.58
Jordan,Bronze,"2579,3371,3309,3042,2260,3271",0.178000,49.84,74.76
Jordan,Bronze,3193,0.067000,18.76,30.02
Jordan,Bronze,2920,0.063000,17.64,28.22
Cameroon,Bronze,"2750,2579,2739,2738,3330,2567,3370,3042,2260,3271",0.220000,61.60,86.24
Cameroon,Bronze,"2266,3182",0.054000,15.12,24.19
Cameroon,Bronze,3001,0.099000,27.72,41.58
Cameroon,Bronze,3109,0.143000,40.04,60.06
Cameroon,Bronze,3160,0.058000,16.24,25.98
Cameroon,Bronze,3193,0.067000,18.76,30.02
Cameroon,Bronze,2263,0.055000,15.40,24.64
Cameroon,Bronze,2840,0.219000,61.32,85.85
Cameroon,Bronze,3237,0.027000,7.56,12.10
Cameroon,Bronze,3335,0.042000,11.76,18.82
Cameroon,Bronze,2920,0.072000,20.16,30.24
Israel,Bronze,"2579,3330,2567,3370,3271",1.250000,350.00,420.00
Israel,Bronze,3001,0.099000,27.72,41.58
Israel,Bronze,3182,0.054000,15.12,24.19
Israel,Silver,3193,0.067000,18.76,30.02
Israel,Bronze,2738,0.472000,132.16,165.20
Israel,Bronze,2263,1.189000,332.92,399.50
Israel,Bronze,"3042,2260",1.334000,373.52,448.22
Israel,Bronze,2920,0.063000,17.64,28.22
Cote d`Ivoire Ivory Coast,Bronze,"2750,3193,3330,2567,2260,3370,32",0.199000,55.72,78.01
Cote d`Ivoire Ivory Coast,Silver,2266,0.054000,15.12,24.19
Cote d`Ivoire Ivory Coast,Bronze,3001,0.099000,27.72,41.58
Cote d`Ivoire Ivory Coast,Bronze,3182,0.054000,15.12,24.19
Cote d`Ivoire Ivory Coast,Bronze,3178,0.055000,15.40,24.64
Cote d`Ivoire Ivory Coast,Bronze,2840,0.198000,55.44,77.62
Cote d`Ivoire Ivory Coast,Gold,3109,0.066000,18.48,29.57
Cote d`Ivoire Ivory Coast,Bronze,3168,0.050000,14.00,22.40
Cote d`Ivoire Ivory Coast,Bronze,2920,0.063000,17.64,28.22
Belarus,Bronze,"2750,3330,3370,2579,3371,3309",0.191000,53.48,74.87
Belarus,Bronze,2266,0.054000,15.12,24.19
Belarus,Bronze,3001,0.099000,27.72,41.58
Belarus,Silver,3182,0.054000,15.12,24.19
Belarus,Bronze,3328,0.160000,44.80,67.20
Belarus,Bronze,3178,0.004000,1.12,1.79
Bulgaria,Bronze,2263,0.046000,12.88,20.61
Bulgaria,Bronze,"2750,2579,3370,3371,3309,3042,2260,3271,3168",0.151000,42.28,63.42
Bulgaria,Bronze,"2266,3182",0.054000,15.12,24.19
Bulgaria,Bronze,3001,0.099000,27.72,41.58
Bulgaria,Bronze,2738,0.060000,16.80,26.88
Bulgaria,Bronze,3193,0.067000,18.76,30.02
Bulgaria,Bronze,3237,0.059000,16.52,26.43
Bulgaria,Silver,3335,0.067000,18.76,30.02
Bulgaria,Bronze,2920,0.063000,17.64,28.22
Libya,Silver,2266,0.054000,15.12,24.19
Libya,Bronze,3001,0.099000,27.72,41.58
Libya,Bronze,3182,0.054000,15.12,24.19
Libya,Bronze,"2260,3168",0.204000,57.12,79.97
Mauritius,Bronze,"2266,3182",0.054000,15.12,24.19
Mauritius,Bronze,3001,0.099000,27.72,41.58
Mauritius,Bronze,"3370,3371,3309,3042,3271",0.136000,38.08,57.12
Mauritius,Bronze,2920,0.063000,17.64,28.22
Turkmenistan,Bronze,3001,0.099000,27.72,41.58
Turkmenistan,Bronze,3182,0.054000,15.12,24.19
Turkmenistan,Bronze,"3371,3309,3042,2260,3271",0.108000,30.24,45.36
Turkmenistan,Bronze,2920,0.072000,20.16,30.24
Azerbaijan,Bronze,"2266,3182",0.054000,15.12,24.19
Azerbaijan,Bronze,3001,0.099000,27.72,41.58
Azerbaijan,Bronze,"2579,3330,3370,3309,3042,2260,3271",0.384000,107.52,134.40
Azerbaijan,Bronze,"3160,3168",0.040000,11.20,17.92
Azerbaijan,Bronze,3193,0.067000,18.76,30.02
Azerbaijan,Bronze,3371,0.035000,9.80,15.68
Mali,Bronze,"2750,2579,3371,3309,3330,3042,2260,3271",0.203000,56.84,79.58
Mali,Bronze,2217,0.039000,10.92,17.47
Mali,Gold,2266,0.054000,15.12,24.19
Mali,Bronze,3001,0.099000,27.72,41.58
Mali,Bronze,3182,0.054000,15.12,24.19
Mali,Bronze,3193,0.067000,18.76,30.02
Mali,Bronze,3168,0.080000,22.40,33.60
Mali,Bronze,2920,0.072000,20.16,30.24
Rwanda,Bronze,3001,0.099000,27.72,41.58
