Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Hungary,Bronze,"2579,2750,3193",0.371000,107.59,134.49
Burundi,Bronze,"2579,2750,3193",0.127000,36.83,55.24
Netherlands,Bronze,2263,0.070000,20.30,30.45
Netherlands,Bronze,2295,0.100000,29.00,43.50
Netherlands,Bronze,"2442,2579,2750,3160,3193,3309,3330",0.134000,38.86,58.29
Netherlands,Bronze,2738,0.093000,26.97,40.45
Netherlands,Bronze,2739,0.045000,13.05,39.15
Netherlands,Bronze,3087,0.067000,19.43,58.29
Netherlands,Bronze,3198,0.016000,4.64,13.92
Netherlands,Bronze,3433,0.043000,12.47,37.41
Equatorial Guinea,Bronze,2579,0.120000,34.80,52.20
United Arab Emirates,Bronze,3160,0.127000,36.83,55.24
Cambodia,Bronze,"2579,2750,3160,3193,3330",0.234000,67.86,95.00
South Sudan,Bronze,2579,0.127000,36.83,55.24
Mauritania,Bronze,"2579,2750,3193",0.127000,36.83,55.24
China,Bronze,3193,0.164000,47.56,71.34
Kuwait,Bronze,2579,0.127000,36.83,55.24
Guinea-Bissau,Bronze,"2579,2750",0.127000,36.83,55.24
Maldives,Bronze,2579,0.120000,34.80,52.20
Portugal,Bronze,2263,0.119000,34.51,51.77
Portugal,Bronze,"2442,2579,2750,3160,3193,3433",0.235000,68.15,95.41
Portugal,Bronze,2738,0.159000,46.11,69.16
Portugal,Bronze,2739,0.072000,20.88,31.32
Portugal,Bronze,2840,0.132000,38.28,57.42
Portugal,Bronze,3087,0.067000,19.43,58.29
Portugal,Bronze,"3132,3407",0.177000,51.33,71.86
Bosnia and Herzegovina,Bronze,"2750,3193",0.164000,47.56,71.34
Somalia,Bronze,2579,0.127000,36.83,55.24
Barbados,Bronze,2579,0.120000,34.80,52.20
Gambia,Bronze,"2579,2750,3193,3330",0.127000,36.83,55.24
Armenia,Bronze,"2579,2750,3193,3309",0.127000,36.83,55.24
Guyana,Bronze,2579,0.127000,36.83,55.24
Chad,Bronze,"2579,2750,3193,3330",0.127000,36.83,55.24
Switzerland,Bronze,"2442,2579,2750,3160,3193,3394",0.286000,82.94,116.12
Puerto Rico,Bronze,2579,0.127000,36.83,55.24
Serbia,Bronze,"3193,3330",0.051000,14.79,44.37
Estonia,Bronze,"2291,2750,3168,3193,3330",0.151000,43.79,65.69
Estonia,Bronze,2738,0.119000,34.51,51.77
Bahrain,Bronze,2579,0.127000,36.83,55.24
Guadeloupe,Bronze,2579,0.120000,34.80,52.20
Norway,Bronze,"2579,2750,3193",0.164000,47.56,71.34
Norway,Bronze,3168,0.123000,35.67,53.51
Italy,Bronze,2263,0.095000,27.55,41.33
Italy,Bronze,"2442,2579,2615,2738,2750,3160,3193,3266,3307,3309,3406",0.136000,39.44,59.16
Italy,Bronze,2739,0.066000,19.14,57.42
Italy,Bronze,"2966,3168",0.103000,29.87,44.80
Italy,Bronze,3304,0.112000,32.48,48.72
Romania,Bronze,2263,0.093000,26.97,40.45
Romania,Bronze,"2291,2579,2750,3160,3193,3330",0.235000,68.15,95.41
Romania,Bronze,2738,0.123000,35.67,53.51
Romania,Bronze,2739,0.059000,17.11,51.33
Romania,Bronze,3168,0.177000,51.33,71.86
Luxembourg,Bronze,"2579,2750,3193,3309",0.164000,47.56,71.34
Suriname,Bronze,2579,0.120000,34.80,52.20
Guatemala,Bronze,2579,0.164000,47.56,71.34
Madagascar,Bronze,"2579,3330",0.127000,36.83,55.24
Madagascar,Bronze,2840,0.107000,31.03,46.55
Djibouti,Bronze,2579,0.120000,34.80,52.20
French Guiana,Bronze,2579,0.127000,36.83,55.24
Saint Lucia,Bronze,2579,0.120000,34.80,52.20
Montenegro,Bronze,2579,0.164000,47.56,71.34
Cuba,Bronze,"2579,2750",0.127000,36.83,55.24
Greece,Bronze,2263,0.104000,30.16,45.24
Greece,Bronze,"2738,2750,3160,3193",0.136000,39.44,59.16
Greece,Bronze,2739,0.066000,19.14,57.42
Greece,Bronze,2840,0.115000,33.35,50.03
Chile,Bronze,2421,0.093000,26.97,40.45
Chile,Bronze,"2579,2750,3160,3193,3235,3309",0.120000,34.80,52.20
Chile,Bronze,2840,0.107000,31.03,46.55
Chile,Bronze,"2974,3350",0.080000,23.20,34.80
Sierra Leone,Bronze,"2579,2750,3160,3193",0.127000,36.83,55.24
Bahamas,Bronze,2579,0.127000,36.83,55.24
Bolivia,Bronze,"2579,2750,3193",0.127000,36.83,55.24
Bolivia,Bronze,3168,0.095000,27.55,41.33
Grenada,Bronze,2579,0.120000,34.80,52.20
Latvia,Bronze,"2579,2750,3193,3330",0.158000,45.82,68.73
Tajikistan,Bronze,"2579,3193,3309",0.127000,36.83,55.24
Brunei Darussalam,Bronze,2579,0.120000,34.80,52.20
Cayman islands,Bronze,2579,0.120000,34.80,52.20
Albania,Bronze,2579,0.164000,47.56,71.34
Slovenia,Bronze,2263,0.108000,31.32,46.98
Slovenia,Bronze,"2291,2442,2750,3160,3193,3330",0.164000,47.56,71.34
Slovenia,Bronze,2738,0.146000,42.34,63.51
Slovenia,Bronze,3256,0.123000,35.67,53.51
Lithuania,Bronze,"2579,2750,3193,3330",0.251000,72.79,101.91
Lithuania,Bronze,3087,0.134000,38.86,58.29
Central African Republic,Bronze,3168,0.091000,26.39,39.59
Liberia,Bronze,"2579,2750,3160,3193",0.127000,36.83,55.24
