Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Amazon,South Africa,1|0.118,1,2217,0.118000,33.04,49.56
Amazon,Ghana,3|0.152,3,"2750,3160,3309,3330,3370,3393",0.152000,42.56,63.84
Amazon,Ghana,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Ghana,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Kenya,3|0.118,3,"2217,3193",0.118000,33.04,49.56
Amazon,Kenya,3|0.08,3,2263,0.080000,22.40,33.60
Amazon,Kenya,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Kenya,3|0.502,3,"2579,3168,3309,3330,3370,3393",0.502000,140.56,175.70
Amazon,Kenya,3|0.107,3,2738,0.107000,29.96,44.94
Amazon,Kenya,3|0.063,3,2750,0.063000,17.64,26.46
Amazon,Kenya,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Kenya,3|0.134,3,3160,0.134000,37.52,56.28
Amazon,Kenya,3|0.01,3,3237,0.010000,2.80,4.20
Amazon,Kenya,3|0.067,3,3340,0.067000,18.76,28.14
Amazon,Panama,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Panama,3|0.136,3,"2750,3309,3370,3371,3393",0.136000,38.08,57.12
Amazon,Panama,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Panama,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Jamaica,1|0.094,1,2266,0.094000,26.32,39.48
Amazon,Jamaica,3|0.191,3,"2579,3309,3370,3371,3393",0.191000,53.48,74.87
Amazon,Jamaica,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Jamaica,2|0.094,2,3182,0.094000,26.32,39.48
Amazon,Venezuela,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Venezuela,3|0.198,3,"2579,2750,3309,3370,3371,3393",0.198000,55.44,77.62
Amazon,Venezuela,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Venezuela,3|0.016,3,3160,0.016000,4.48,6.72
Amazon,Venezuela,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Kazakhstan,3|0.118,3,"2263,2579,2738,2750,3193,3309,3330,3370,3393",0.118000,33.04,49.56
Amazon,Kazakhstan,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Kazakhstan,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Kazakhstan,3|0.031,3,3168,0.031000,8.68,13.02
Amazon,Kazakhstan,3|0.042,3,3335,0.042000,11.76,17.64
Amazon,Kazakhstan,3|0.116,3,3371,0.116000,32.48,48.72
Amazon,Kazakhstan,3|0.046,3,3421,0.046000,12.88,19.32
Amazon,Colombia,3|0.138,3,2217,0.138000,38.64,57.96
Amazon,Colombia,2|0.21,2,2260,0.210000,58.80,82.32
Amazon,Colombia,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Colombia,1|0.05,1,2286,0.050000,14.00,21.00
Amazon,Colombia,1|0.094,1,2335,0.094000,26.32,39.48
Amazon,Colombia,3|0.21,3,"2579,2750,3330,3340,3370,3406",0.210000,58.80,82.32
